id,AUTM_names,std_name
95002,Albert Einstein College of Med/Yeshiva University,Albert Einstein College
95002,Albert Einstein College of Medicine Inc.,Albert Einstein College
95003,Albert Einstein Healthcare Network,Albert Einstein Healthcare
95004,Allegheny University of the Health Sciences,Allegheny University
95005,Allegheny-Singer Research Institute,Allegheny-Singer Research Inst
96041,M.D. Anderson Cancer Center,Anderson Cancer Center
96041,M.D. Anderson Cancer Ctr,Anderson Cancer Center
96041,University of Texas M.D. Anderson Cancer Center,Anderson Cancer Center
95006,Arizona State Univ.,Arizona State University
95006,Arizona State University,Arizona State University
95007,Auburn Univ.,Auburn University
95007,Auburn University,Auburn University
95100,Augusta University,Augusta University
95100,Georgia Health Sciences University,Augusta University
95100,Georgia Regents University,Augusta University
95100,Medical College of Georgia Research Institution,Augusta University
95008,Ball State Univ.,Ball State University
95008,Ball State University,Ball State University
95010,Baylor College of Medicine,Baylor College of Medicine
96003,Baylor University,Baylor University
95011,Beth Israel Deaconess Medical Center,Beth Israel
96044,Blood Center of Wisconsin,Blood Center of Wisconsin
20100275,Boise State University,Boise State University
95034,Boston Children's Hospital,Boston Children's Hospital
95034,Children's Hospital Boston,Boston Children's Hospital
20100272,Boston College,Boston College
95014,Boston Univ./Boston Medical Center,Boston University
95014,Boston Univ./Boston Medical Ctr.,Boston University
95014,Boston University,Boston University
95014,Boston University/Boston Medical Center,Boston University
95015,Bowling Green State Univ.,Bowling Green State University
95015,Bowling Green State University,Bowling Green State University
97017,Boyce Thompson Inst. for Plant Research,Boyce Thompson Inst
97017,Boyce Thompson Institution for Plant Research,Boyce Thompson Inst
95016,Brandeis Univ.,Brandeis University
95016,Brandeis University,Brandeis University
95017,Brigham & Women's Hospital,Brigham & Women's
95017,Brigham & Women's Hospital Inc.,Brigham & Women's
95018,Brigham Young Univ.,Brigham Young University
95018,Brigham Young University,Brigham Young University
95019,Brown University,Brown University
95019,Brown University Research Fndtn,Brown University
95019,Brown University Research Foundation,Brown University
95022,California Inst. of Technology,California Institute of Tech
95022,California Institute of Technology,California Institute of Tech
95023,California Pacific Medical Center Research Institution,California Pacific
99021,California State Polytechnic Univ.,California State Poly
96006,California State University Institution,California State University
95024,CA State University/Fullerton,California State University Fullerton
95027,Carnegie Mellon Univ.,Carnegie Mellon
95027,Carnegie Mellon University,Carnegie Mellon
95029,Case Western Reserve Univ.,Case Western
95029,Case Western Reserve University,Case Western
95029,Case Western Reserve University.,Case Western
96045,The Catholic University of America,Catholic University of America
20000226,Cedars-Sinai Medical Center,Cedars Sinai
20000226,Cedars-Sinai Medical Ctr.,Cedars Sinai
20000252,CBR Institute for Biomedical Research,Center for Blood Research
20000252,Center for Blood Research,Center for Blood Research
95031,Center for Innovative Technology,Center for Innovative Technology
96008,Children's Hospital Cincinnati,Children's Hospital Cincinnati
96008,Cincinnati Children's Hospital Medical Center,Children's Hospital Cincinnati
20000250,Childrens Hospital Los Angeles,Children's Hospital Los Angeles
95036,Children's Hospital Oakland,Children's Hospital Oakland
95036,Children's Hospital Oakland Research Institution,Children's Hospital Oakland
20140306,Children's National Health System,Children's National Health
95033,Children's Hospital of Philadelphia,Childrens Hospital of Philadelphia
95038,City of Hope National Medical Center,City of Hope
95038,City of Hope National Medical Center & Beckman Research,City of Hope
95038,City of Hope National Medical Center & Beckman Research  Inst.,City of Hope
95038,City of Hope National Medical Center & Beckman Research  Institution,City of Hope
95038,City of Hope National Medical Ctr. & Beckman Research  Inst.,City of Hope
95040,Clemson Univ.,Clemson University
95040,Clemson University,Clemson University
95041,Cleveland Clinic,Cleveland Clinic
95041,Cleveland Clinic Foundation,Cleveland Clinic
20140303,Cleveland State University,Cleveland State University
20120296,Cold Spring Harbor Laboratory,Cold Spring Harbor
95043,Colorado School of Mines,Colorado School of Mines
95044,Colorado State Univ.,Colorado State University
95044,Colorado State University,Colorado State University
95045,Columbia Univ.,Columbia University
95045,Columbia University,Columbia University
95046,Competitive Technologies Inc. (CTI),Competitive Technologies
95048,Cornell Research Foundation Inc.,Cornell University
95048,Cornell University,Cornell University
95049,Creighton Univ.,Creighton University
95049,Creighton University,Creighton University
95077,City University of New York,CUNY
95077,Hunter College of CUNY,CUNY
95077,The Research Foundation of the City University of New York,CUNY
95052,Dana-Farber Cancer Inst.,Dana-Farber
95052,Dana-Farber Cancer Institute,Dana-Farber
95052,Dana-Farber Cancer Institution,Dana-Farber
95053,Dartmouth College,Dartmouth College
95054,Drexel Univ.,Drexel University
95054,Drexel University,Drexel University
95055,Duke Univ.,Duke University
95055,Duke University,Duke University
2000007,Duquesne Univ.,Duquesne University
2000007,Duquesne University,Duquesne University
95056,East Carolina Univ.,East Carolina University
95056,East Carolina University,East Carolina University
96010,Eastern Virginia Medical School,Eastern Virginia Med
96039,St. Elizabeth's Medical Center of Boston,Elizabeth's Medical Center
20070264,Embry-Riddle Aeronautical University,Embry-Riddle Aeronautical University
95059,Emory Univ.,Emory University
95059,Emory University,Emory University
97003,Florida Agricultural and Mechanical University,Florida Agricultural
95060,Florida Atlantic University,Florida Atlantic University
20070262,Florida Gulf Coast University,Florida Gulf Coast University
95061,Florida Institution of Technology,Florida Institution of Technology
2000008,Florida International University,Florida International University
95062,Florida State Univ.,Florida State University
95062,Florida State University,Florida State University
20120291,The Forsyth Institute,Forsyth Inst
95063,Fox Chase Cancer Center,Fox Chase
95064,Fred Hutchinson Cancer Res. Ctr.,Fred Hutchinson
95064,Fred Hutchinson Cancer Research Center,Fred Hutchinson
95065,George Mason University,George Mason University
20160316,George Washington University,George Washington University
95066,Georgetown Univ.,Georgetown University
95066,Georgetown University,Georgetown University
95067,Georgia Inst. of Technology,Georgia Institute of Tech
95067,Georgia Institute of Technology,Georgia Institute of Tech
95067,Georgia Institution of Technology,Georgia Institute of Tech
20160321,Georgia State University,Georgia State University
20120293,Hackensack University Medical Center,Hackensack University
95069,Hahnemann University,Hahnemann University
95070,Harvard Univ.,Harvard University
95070,Harvard University,Harvard University
95071,Health Research Inc.,Health Research Inc
95071,Health Research Inc. - NYS Department of Health,Health Research Inc
95071,Health Research Inc.-NY Health Dept. - Roswell Park Cancer Institution,Health Research Inc
95073,Hospital for Special Surgery,Hospital for Special Surgery
95074,Houston Advanced Research Center,Houston Advanced Research Center
20100287,Idaho State University,Idaho State University
95080,Illinois Institute of Technology,Illinois Institute of Technology
95081,Illinois State Univ.,Illinois State University
95081,Illinois State University,Illinois State University
20000252,Immune Disease Institute,Center for Blood Research
95082,Indiana Univ. Research & Technology Corp.(IURTC),Indiana University
95082,Indiana University,Indiana University
95082,Indiana University (ARTI),Indiana University
95082,Indiana University (IOC),Indiana University
95082,Indiana University Research & Technology Corp.(IURTC),Indiana University
95084,Iowa State Univ.,Iowa State University
95084,Iowa State University,Iowa State University
20100270,The Jackson Laboratory,Jackson Laboratory
20160322,James Madison University,James Madison University
95087,John Wayne Cancer Institute,John Wayne
95088,Johns Hopkins Univ.,Johns Hopkins University
95088,Johns Hopkins University,Johns Hopkins University
20080265,Johns Hopkins Univ. Applied Physics Laboratory,Johns Hopkins University Applied Physics
20080265,Johns Hopkins University Applied Physics Laboratory,Johns Hopkins University Applied Physics
95164,St. Jude Children's Research Hospital,Jude Children's
95089,Kansas State Univ. Research Fdn.,Kansas State University
95089,Kansas State Univ. Research Foundation,Kansas State University
95089,Kansas State University Research Foundation,Kansas State University
20000011,Keck Graduate Institution of Applied Life Sciences,Keck Graduate
95090,Kent State University,Kent State University
20140304,Lawrence Livermore National Laboratory,Lawrence Livermore
99008,H Lee Moffitt Cancer Ctr & Res Inst.,Lee Moffitt
99008,H Lee Moffitt Cancer Ctr & Res Institution,Lee Moffitt
99008,H. Lee Moffitt Cancer Center & Research Institute,Lee Moffitt
20000014,Legacy Health System,Legacy Health System
95091,Lehigh University,Lehigh University
20160320,Los Angeles Biomedical Research Institute,Los Angeles Biomedical Research Institute
95093,Louisiana State University,Louisiana State University
95093,Louisiana State University  and Agricultural and Mechanical College,Louisiana State University
95093,Louisiana State University System,Louisiana State University
96016,Louisiana State University Agricultural Center,Louisiana State University Agricultural Center
96015,Louisiana State University Health Sciences Center-New Orleans,Louisiana State University Health Sciences
20080266,Louisiana Tech University,Louisiana Tech
96017,Loyola University Chicago,Loyola University
96017,Loyola University Medical Center,Loyola University
96017,Loyola University of Chicago,Loyola University
95094,Marquette Univ.,Marquette University
95094,Marquette University,Marquette University
95095,Marshall University Research Corp.,Marshall University
95096,Massachusetts General Hospital,Massachusetts General Hospital
95096,The General Hospital dba Massachusetts General Hospital,Massachusetts General Hospital
95097,Massachusetts Inst. of Technology (MIT),Massachusetts Institute of Technology
95097,Massachusetts Institute of Technology,Massachusetts Institute of Technology
95097,Massachusetts Institution of Technology (MIT),Massachusetts Institute of Technology
95098,Mayo Fdn. for Medical Education and Research,Mayo Foundation
95098,Mayo Foundation,Mayo Foundation
95098,Mayo Foundation for Medical Education and Research,Mayo Foundation
95101,Medical College of Ohio,Medical College of Ohio
95101,Medical University of Ohio at Toledo,Medical College of Ohio
95102,Medical College of PA,Medical College of Pennsylvania
99010,Medical College of Wisconsin,Medical College of Wisconsin
99010,Medical College of Wisconsin Research Fndtn,Medical College of Wisconsin
95103,Medical Univ. of South Carolina,Medical University of South Carolina
95103,Medical University of South Carolina,Medical University of South Carolina
95105,Miami Univ.,Miami University
95105,Miami University,Miami University
95107,Michigan State Univ.,Michigan State University
95107,Michigan State University,Michigan State University
95108,Michigan Technological Univ.,Michigan Tech
95108,Michigan Technological University,Michigan Tech
95109,Mississippi State Univ.,Mississippi State University
95109,Mississippi State University,Mississippi State University
95110,Montana State Univ.,Montana State University
95110,Montana State University,Montana State University
98012,Monterey Bay Aquarium Research Institution,Monterey Bay Aquarium
20160319,Morgan State University,Morgan State University
95050,Mount Sinai School of Medicine,Mount Sinai
95050,Mount Sinai School of Medicine of NYU,Mount Sinai
95113,National Jewish Center,National Jewish Health
