wos_org,std_name,city,state,id
(AdventHealth) Central Florida Division,,Celebration,FL,
(AdventHealth) Multi-State Division,,Burleson,TX,
(AdventHealth) West Florida Division,,Tampa,FL,
3M,,St Paul,MN,
A.T. Still University of Health Sciences,,Mesa,AZ,
AAI Corporation,,COCKEYSVILLE,MD,
ABT Associates,,Lexington,MA,
AMC Cancer Research Center,,Denver,CO,
ARUP Laboratories,,Salt Lake City,UT,
AT&T,,Murray Hill,NJ,
AbbVie,,Worcester,MA,
Abbott Laboratories,,Abbott Pk,IL,
Abbott Vascular,,Abbott Pk,IL,
Abilene Christian University,,Abilene,TX,
Abington Memorial Hospital,,Abington,PA,
Abraham Baldwin Agricultural College,,Tifton,GA,
Acceleron Pharma,,Cambridge,MA,
Adelphi University,,Garden City,NY,
Advanced Micro Devices,,Sunnyvale,CA,
AdventHealth,,Orlando,FL,
AdventHealth Altamonte Springs,,Altamonte Springs,FL,
AdventHealth Apopka,,Altamonte Sp,FL,
AdventHealth Carrollwood,,Tampa,FL,
AdventHealth Celebration,,Celebration,FL,
AdventHealth Daytona Beach,,Daytona Beach,FL,
AdventHealth DeLand,,Deland,FL,
AdventHealth East Orlando,,Orlando,FL,
AdventHealth Fish Memorial,,Orange City,FL,
AdventHealth Kissimmee,,Kissimmee,FL,
AdventHealth New Smyrna Beach,,New Smyrna Beach,FL,
AdventHealth North Pinellas,,Tarpon Springs,FL,
AdventHealth Ocala,,Ocala,FL,
AdventHealth Orlando,,Orlando,FL,
AdventHealth Pepin Heart Institute,,Tampa,FL,
AdventHealth Sebring,,Sebring,FL,
AdventHealth Shawnee Mission,,Overland Pk,KS,
AdventHealth Tampa,,Tampa,FL,
AdventHealth Waterman,,Tavares,FL,
AdventHealth Wesley Chapel,,Wesley Chapel,FL,
AdventHealth Winter Park,,Winter Pk,FL,
AdventHealth Zephyrhills,,Zephyrhills,FL,
AdventHealth for Children,,Orlando,FL,
AdventHealth for Women,,Orlando,FL,
Adventist Health Services,,Orlando,FL,
Aerie Pharmaceuticals,,Res Triangle Pk,NC,
Aerodyne Research,,Billerica,MA,
Aerospace Corporation - USA,,Los Angeles,CA,
Affymetrix,,Santa Clara,CA,
Agency for Healthcare Research & Quality,,Rockville,MD,
Agilent Technologies,,Santa Rosa,CA,
